Campus;Centro;Estudi;Mujer;Hombre;Total
CAMPUS DELS TARONGERS;Facultat de Ciències Socials;Grau en Treball Social;10;4;14
CAMPUS DELS TARONGERS;Facultat de Ciències Socials;Total;29;15;44
CAMPUS DELS TARONGERS;Facultat de Dret;Doble Grau en Dret i Ciències Polítiques i de l'Administració Pública;3;0;3
CAMPUS DELS TARONGERS;Facultat de Dret;Doble Grau en Dret i Criminologia;4;1;5
CAMPUS DELS TARONGERS;Facultat de Dret;Doble Grau en Sociologia i Ciències Polítiques i de l'Administració Pública;0;1;1
CAMPUS DELS TARONGERS;Facultat de Dret;Grau en Ciències Polítiques i de l'Administració Pública;6;1;7
CAMPUS DELS TARONGERS;Facultat de Dret;Grau en Criminologia;4;4;8
CAMPUS DELS TARONGERS;Facultat de Dret;Grau en Dret;41;20;61
CAMPUS DELS TARONGERS;Facultat de Dret;Total;58;27;85
CAMPUS DELS TARONGERS;Facultat de Magisteri;Grau en Mestre/a en Educació Infantil;34;5;39
CAMPUS DELS TARONGERS;Facultat de Magisteri;Grau en Mestre/a en Educació Primària;38;8;46
CAMPUS DELS TARONGERS;Facultat de Magisteri;Total;72;13;85
CAMPUS DELS TARONGERS;Total;;219;100;319
Total;;;483;272;755
