Rama;Centre;Estudi;Mujer;Hombre;Total
Ciencias Socials i Juridicas;Facultat de Ciències Socials;Doble Grau en Sociologia i Ciències Polítiques i de l'Administració Pública;111;65;176
Ciencias Socials i Juridicas;Facultat de Ciències Socials;Grau en Relacions Laborals i Recursos Humans;658;342;1000
Ciencias Socials i Juridicas;Facultat de Ciències Socials;Grau en Sociologia;174;138;312
Ciencias Socials i Juridicas;Facultat de Ciències Socials;Grau en Treball Social;762;106;868
Ciencias Socials i Juridicas;Facultat de Ciències Socials;Total;1705;651;2356
Ciencias Socials i Juridicas;Facultat de Dret;Doble Grau en Dret i Ciències Polítiques i de l'Administració Pública;129;115;244
Ciencias Socials i Juridicas;Facultat de Dret;Doble Grau en Dret i Criminologia;366;73;439
Ciencias Socials i Juridicas;Facultat de Dret;Doble Grau en Sociologia i Ciències Polítiques i de l'Administració Pública;2;3;5
Ciencias Socials i Juridicas;Facultat de Dret;Grau en Ciències Polítiques i de l'Administració Pública;213;226;439
Ciencias Socials i Juridicas;Facultat de Dret;Grau en Criminologia;333;135;468
Ciencias Socials i Juridicas;Facultat de Dret;Grau en Dret;1957;1027;2984
Ciencias Socials i Juridicas;Facultat de Dret;Total;3000;1579;4579
Ciencias Socials i Juridicas;Facultat de Filologia, Traducció i Comunicació;Grau en Comunicació Audiovisual;219;119;338
Ciencias Socials i Juridicas;Facultat de Filologia, Traducció i Comunicació;Grau en Periodisme;194;133;327
Ciencias Socials i Juridicas;Facultat de Filologia, Traducció i Comunicació;Total;413;252;665
Ciencias Socials i Juridicas;Facultat de Filosofia i Ciències de l'Educació;Grau en Educació Social;570;93;663
Ciencias Socials i Juridicas;Facultat de Filosofia i Ciències de l'Educació;Grau en Pedagogia;515;81;596
Ciencias Socials i Juridicas;Facultat de Filosofia i Ciències de l'Educació;Total;1085;174;1259
Ciencias Socials i Juridicas;Facultat de Geografia i Història;Grau en Geografia i Medi Ambient;83;188;271
Ciencias Socials i Juridicas;Facultat de Geografia i Història;Grau en Informació i Documentació;69;52;121
Ciencias Socials i Juridicas;Facultat de Geografia i Història;Total;152;240;392
Ciencias Socials i Juridicas;Facultat de Magisteri;Grau en Mestre/a en Educació Infantil;1289;130;1419
Ciencias Socials i Juridicas;Facultat de Magisteri;Grau en Mestre/a en Educació Primària;1503;589;2092
Ciencias Socials i Juridicas;Facultat de Magisteri;Total;2792;719;3511
Ciencias Socials i Juridicas;Total;;12569;7096;19665
Total;;;24474;14250;38724
