estudios;a2017;2018;2019;2020
ANALFABET/A;0;167;191;166
BUP O FP2;9392;4;1;0
DIPLOMATS;3679;4;2;0
EGB O FP1;7748;3;0;0
EST. PRIMARIS;7534;10037;9492;8889
ESTUDIS SECUNDARIS;2;11984;12752;12656
ESTUDIS SUPERIORS;3;15007;15013;15098
LLICENCIATS;8146;2;0;0
NO INFORMAT;258;485;398;230
SENSE ESTUDIS;3138;2590;2259;1685
