Campus;Centre;Estudi;Mujer;Hombre;Total
CAMPUS BURJASSOT_PATER0;Facultat de Farmàcia;Grau en Nutrició Huma0 i Dietètica;377;172;549
CAMPUS BURJASSOT_PATER0;Facultat de Farmàcia;Total;1.658;694;2.352
CAMPUS BURJASSOT_PATER0;Facultat de Física;Grau en Física;133;350;483
CAMPUS BURJASSOT_PATER0;Facultat de Física;Grau en Òptica i Optometria;162;44;206
CAMPUS BURJASSOT_PATER0;Facultat de Física;Total;295;394;689
CAMPUS BURJASSOT_PATER0;Facultat de Química;Grau en Química;423;370;793
CAMPUS BURJASSOT_PATER0;Facultat de Química;Total;423;370;793
CAMPUS BURJASSOT_PATER0;Total;;3.887;3.801;7.688
CAMPUS DELS TARONGERS;Dobles Títols Facultat de Dret _ Facultat d'Economia;Doble Grau en Administració i Direcció d'Empreses i Dret;280;197;477
CAMPUS DELS TARONGERS;Dobles Títols Facultat de Dret _ Facultat d'Economia;Total;280;197;477
CAMPUS DELS TARONGERS;Facultat d'Economia;Doble Grau en Turisme i Administració i Direcció d'Empreses;216;72;288
CAMPUS DELS TARONGERS;Facultat d'Economia;Grau en Administració i Direcció d'Empreses;1.085;1.196;2.281
CAMPUS DELS TARONGERS;Facultat d'Economia;Grau en Economia;408;532;940
CAMPUS DELS TARONGERS;Facultat d'Economia;Grau en Fi0nces i Comptabilitat;282;290;572
CAMPUS DELS TARONGERS;Facultat d'Economia;Grau en Intel·ligència i A0lítica de Negocis;48;49;97
CAMPUS DELS TARONGERS;Facultat d'Economia;Grau en Negocis Inter0cio0ls;501;255;756
CAMPUS DELS TARONGERS;Facultat d'Economia;Grau en Turisme;420;231;651
CAMPUS DELS TARONGERS;Facultat d'Economia;Total;2.960;2.625;5.585
CAMPUS DELS TARONGERS;Facultat de Ciències Socials;Doble Grau en Sociologia i Ciències Polítiques i de l'Administració Pública;111;65;176
CAMPUS DELS TARONGERS;Facultat de Ciències Socials;Grau en Relacions Laborals i Recursos Humans;658;342;1.000
CAMPUS DELS TARONGERS;Facultat de Ciències Socials;Grau en Sociologia;174;138;312
CAMPUS DELS TARONGERS;Facultat de Ciències Socials;Grau en Treball Social;762;106;868
CAMPUS DELS TARONGERS;Facultat de Ciències Socials;Total;1.705;651;2.356
CAMPUS DELS TARONGERS;Facultat de Dret;Doble Grau en Dret i Ciències Polítiques i de l'Administració Pública;129;115;244
CAMPUS DELS TARONGERS;Facultat de Dret;Doble Grau en Dret i Criminologia;366;73;439
CAMPUS DELS TARONGERS;Facultat de Dret;Doble Grau en Sociologia i Ciències Polítiques i de l'Administració Pública;2;3;5
CAMPUS DELS TARONGERS;Facultat de Dret;Grau en Ciències Polítiques i de l'Administració Pública;213;226;439
CAMPUS DELS TARONGERS;Facultat de Dret;Grau en Criminologia;333;135;468
CAMPUS DELS TARONGERS;Facultat de Dret;Grau en Dret;1.957;1.027;2.984
CAMPUS DELS TARONGERS;Facultat de Dret;Total;3.000;1.579;4.579
CAMPUS DELS TARONGERS;Facultat de Magisteri;Grau en Mestre/a en Educació Infantil;1.289;130;1.419
CAMPUS DELS TARONGERS;Facultat de Magisteri;Grau en Mestre/a en Educació Primària;1.503;589;2.092
CAMPUS DELS TARONGERS;Facultat de Magisteri;Total;2.792;719;3.511
CAMPUS DELS TARONGERS;Total;;10.737;5.771;16.508
Total;;;24.474;14.250;38.724
